47,0,46,466,464,455,49,48,46,7
15,46,0,468,466,457,7,62,8,49
467,466,468,0,4,29,475,444,468,465
465,464,466,4,0,29,473,444,466,463
458,455,457,29,29,0,464,433,457,454
14,49,7,475,473,464,0,69,7,52
63,48,62,444,444,433,69,0,62,47
7,46,8,468,466,457,7,62,0,49
50,7,49,465,463,454,52,47,49,0
---
0,27,23,28,28,27,41,23,23,23
27,0,4,9,9,4,68,4,4,4
23,4,0,13,13,8,64,0,0,0
28,9,13,0,0,9,69,13,13,13
28,9,13,0,0,9,69,13,13,13
27,4,8,9,9,0,64,8,8,8
41,68,64,69,69,64,0,64,64,64
23,4,0,13,13,8,64,0,0,0
23,4,0,13,13,8,64,0,0,0
23,4,0,13,13,8,64,0,0,0
---
###
0,663,642,581,557,600,595,618,615,599
663,0,379,484,510,395,548,393,392,546
642,379,0,377,493,294,483,252,259,489
581,484,377,0,488,383,576,333,334,568
557,510,493,488,0,465,574,467,480,568
600,395,294,383,465,0,519,316,315,511
595,548,483,576,574,519,0,437,434,12
618,393,252,333,467,316,437,0,35,443
615,392,259,334,480,315,434,35,0,438
599,546,489,568,568,511,12,443,438,0
---
0,617,642,581,557,600,637,618,615,599
617,0,93,356,476,281,90,213,222,464
642,93,0,377,493,294,13,252,259,489
581,356,377,0,488,383,374,333,334,568
557,476,493,488,0,465,494,467,480,568
600,281,294,383,465,0,289,316,315,511
637,90,13,374,494,289,0,247,254,480
618,213,252,333,467,316,247,0,35,443
615,222,259,334,480,315,254,35,0,438
599,464,489,568,568,511,480,443,438,0
---
0,617,642,559,583,600,637,618,615,120
617,0,93,110,290,281,90,213,222,617
642,93,0,129,307,294,13,252,259,644
559,110,129,0,250,265,124,231,230,573
583,290,307,250,0,67,302,327,328,583
600,281,294,265,67,0,289,316,315,584
637,90,13,124,302,289,0,247,254,641
618,213,252,231,327,316,247,0,35,600
615,222,259,230,328,315,254,35,0,603
120,617,644,573,583,584,641,600,603,0
---
0,82,209,209,194,199,209,195,209,198
82,0,207,207,192,197,207,195,207,198
209,207,0,12,105,110,12,108,12,101
209,207,12,0,105,106,0,104,0,99
194,192,105,105,0,17,105,9,105,14
199,197,110,106,17,0,106,8,106,19
209,207,12,0,105,106,0,104,0,99
195,195,108,104,9,8,104,0,104,15
209,207,12,0,105,106,0,104,0,99
198,198,101,99,14,19,99,15,99,0
---
0,7,20,202,202,202,202,202,202,202
7,0,17,207,207,207,207,207,207,207
20,17,0,200,200,200,200,200,200,200
202,207,200,0,12,12,0,12,0,0
202,207,200,12,0,0,12,0,12,12
202,207,200,12,0,0,12,0,12,12
202,207,200,0,12,12,0,12,0,0
202,207,200,12,0,0,12,0,12,12
202,207,200,0,12,12,0,12,0,0
202,207,200,0,12,12,0,12,0,0
---
0,651,655,647,649,649,649,655,655,649
651,0,18,32,4,20,4,18,30,4
655,18,0,18,14,26,14,0,26,14
647,32,18,0,32,36,32,18,42,32
649,4,14,32,0,16,0,14,26,0
649,20,26,36,16,0,16,26,38,16
649,4,14,32,0,16,0,14,26,0
655,18,0,18,14,26,14,0,26,14
655,30,26,42,26,38,26,26,0,26
649,4,14,32,0,16,0,14,26,0
---
0,23,4,647,649,649,649,655,655,649
23,0,27,652,646,646,646,656,652,646
4,27,0,643,645,645,645,651,651,645
647,652,643,0,32,36,32,18,42,32
649,646,645,32,0,16,0,14,26,0
649,646,645,36,16,0,16,26,38,16
649,646,645,32,0,16,0,14,26,0
655,656,651,18,14,26,14,0,26,14
655,652,651,42,26,38,26,26,0,26
649,646,645,32,0,16,0,14,26,0
---
0,23,4,105,649,649,649,655,655,649
23,0,27,92,646,646,646,656,652,646
4,27,0,109,645,645,645,651,651,645
105,92,109,0,668,666,668,678,666,668
649,646,645,668,0,16,0,14,26,0
649,646,645,666,16,0,16,26,38,16
649,646,645,668,0,16,0,14,26,0
655,656,651,678,14,26,14,0,26,14
655,652,651,666,26,38,26,26,0,26
649,646,645,668,0,16,0,14,26,0
---
0,111,104,119,110,71,101,110,90,68
111,0,27,92,27,56,32,11,43,59
104,27,0,109,48,41,17,28,28,44
119,92,109,0,91,120,104,93,97,117
110,27,48,91,0,73,51,30,52,70
71,56,41,120,73,0,42,57,45,3
101,32,17,104,51,42,0,33,15,45
110,11,28,93,30,57,33,0,38,54
90,43,28,97,52,45,15,38,0,42
68,59,44,117,70,3,45,54,42,0
---
0,68,105,119,110,71,101,110,90,68
68,0,97,117,70,3,45,54,42,0
105,97,0,122,99,98,96,107,99,97
119,117,122,0,91,120,104,93,97,117
110,70,99,91,0,73,51,30,52,70
71,3,98,120,73,0,42,57,45,3
101,45,96,104,51,42,0,33,15,45
110,54,107,93,30,57,33,0,38,54
90,42,99,97,52,45,15,38,0,42
68,0,97,117,70,3,45,54,42,0
---
###
0,405,582,609,629,577,549,451,578,638
405,0,573,664,686,626,570,442,627,681
582,573,0,669,575,533,539,609,534,438
609,664,669,0,496,604,640,638,599,693
629,686,575,496,0,510,502,626,515,489
577,626,533,604,510,0,406,570,33,595
549,570,539,640,502,406,0,556,393,543
451,442,609,638,626,570,556,0,569,669
578,627,534,599,515,33,393,569,0,602
638,681,438,693,489,595,543,669,602,0
---
0,531,18,669,577,531,537,607,532,446
531,0,533,628,546,124,384,542,129,597
18,533,0,669,575,533,539,609,534,438
669,628,669,0,496,604,640,638,599,693
577,546,575,496,0,510,502,626,515,489
531,124,533,604,510,0,406,570,33,595
537,384,539,640,502,406,0,556,393,543
607,542,609,638,626,570,556,0,569,669
532,129,534,599,515,33,393,569,0,602
446,597,438,693,489,595,543,669,602,0
---
0,531,18,551,577,531,537,490,532,510
531,0,533,174,546,124,384,387,129,83
18,533,0,551,575,533,539,494,534,510
551,174,551,0,514,152,418,417,153,185
577,546,575,514,0,510,502,485,515,537
531,124,533,152,510,0,406,411,33,167
537,384,539,418,502,406,0,69,393,349
490,387,494,417,485,411,69,0,408,354
532,129,534,153,515,33,393,408,0,178
510,83,510,185,537,167,349,354,178,0
---
